carrierName,carrierCode
카고로직항공(독일),6L
카고로직에어,P3
카고룩스,CV
카고룩스 이탈리아,C8
카리브 항공,BW
카르파트에어,V3
카스피항공,CPN
캐세이퍼시픽항공,CX
CAVOK 항공,CVK
케이만항공,KX
세브고,DG
세부퍼시픽항공,5J
세이바 인터콘티넨탈,C2
세메어,5Z
센터럴 마운틴에어,9M
체어항공 AG,GM
샬레항공,CE
첼린지에어,X7
챌린지 항공 IL,5C
참윙스 항공,6Q
CHC 헬리콥터 나이지리아,ATQ
청두항공,EU
체로키 항공,FSS
중화항공,CI
중국화물항공,CK
중국중앙항공,I9
롱하오항공사,GI
중국동방항공,MU
중국익스프레스항공,G5
차이나 플라잉드라곤항공,CFA
중국북서부화물국제항공,CO
차이나포스탈항공,CF
중국남방항공,CZ
중국남방화물,CZ
차이나통일항공,KN
충칭항공,OQ
크로노에비에이션,NDL
시엘로스 항공,A2
킴버 A/S,QA
시나몬 에어,C7
시티링크 인도네시아,QG
시티제트,WX
시티라인 헝가리,CNB
클레이레이스항공,CLY
CM 항공,CC
CMA CGM 화물항공,2C
코스탈에어,CXT
코스탈에비에이션,CQ
코브함 항공 서비스,QJE
코브라제트항공사,COB
콜롬베 항공,CBL
컬러풀 구이저우 항공,GY
콜롬버스아비아항공,CBS
통근 항공,C5
코모어스항공,KMZ
아프리카 항공 ,BU
콤파스 화물항공사,HQ
콘에어 에비에이션,FGD
콘도르항공,DE
콩고 항공사,8Z
컨넥트화물항공,6C
콘퀘스트 항공 화물,C4
콘스탄타항공,UZA
콘투어 항공,LF
CONVIASA,V0
코파항공,CM
코파 항공 콜롬비아,P5
코렌든 항공,XC
코렌든 항공 유럽,XR
코렌든 더치 항공,CD
코퍼레이트 에어(오스트레일리아),FC
코퍼레이트 에어(미국),CPT
코르스에어,SS
코스타리카 그린 에어웨이,CRG
코인에어웨이,7C
크로아티아항공,OU
크로노스 항공,C8
CSA 에어,IRO
CSA 체코 항공,OK
쿠바항공,CU
시그너스에어,RGN
키프로스 항공 (찰리 항공),CY
달로항공,D3
대련 항공,CCD
댄 에어,DN
다나 항공,9J
DAT 항공,DX
DC 항공 알푸타임(DCAF),DCF
디어제트항공,DER
델타항공,DL
델타프리베이트제트,DPJ
데라야 에어 택시,DRY
DHL 에어로 익스프레스,D5
DHL 에어(오스트리아),Q7
DHL 에어 리미티드,D0
DHL 과테말라,L3
DHL 에콰도르,7T
DHL 국제항공 ME,ES
디비 디비 에어,3R
동해항공,DZ
Dot Lt,R6
도브 에어 서비스,DOV
드러커어,KB
이글에어 우간다,H7
이스트아프리칸,B5
이스타항공,ZE
이스턴 항공사,2D
이스턴 에어웨이,T3
이스턴호주항공,EAQ
이스트인도 항공,ESD
이지플라이,VE
이지젯,U2
이지젯 유럽,EC
이지젯 스위스,DS
이지스카이,EKY
이카고,RF
에코젯,8J
에델바이스 에어,WK
이집트항공,MS
이집트에어카고,MSX
엘알 이스라엘항공,LY
엘마겔항공서비스,MGG
엘리트 에어웨이,7Q
엘린항공,EL
에머럴드 에어웨이(아일랜드),EA
에베테베,ET
에미레이트항공,EK
엠파이어 항공 그룹 FZCO,MJE
엔더버 항공,9E
엔터에어,E4
엔보이,MQ
엡실론 항공 SA,GRV
이쿼플라이트,E7
에콰이어,HN
에람에어,IRY
에트르리안항공,B8
이스타페타에어,E7
에스텔라 항공,ES
ETF 항공,LI
에디오피아항공,ET
에디오피아 모잠비크 항공,ZU
에티하드에어웨이,EY
유로 항공,Q4
유로아시아 항공,KZE
유로 애틀랜틱 항공,YU
유럽 항공 헌장,H6
유럽 항공 운송 라이프찌히,QY
유로윙즈,EW
유로윙스 디스커버,4Y
유로윙즈 유럽,E2
에바항공,BR
EVAS 에어,8K
에버제트,EVJ
에버트 항공화물,5V
이와 항공,ZD
엑셀에어,XLS
이그젝 에어,X7
익그제큐티브 항공,VCN
엑신,EXN
익스프레스 에어 카고,7A
익스프레스 에어웨이,EPR
익스프레스 프레이터 오스트랄리아,QE
이지에어,7Z
이즈니스 항공,MG
FAI 렌트어젯,IFA
페어에비에이션,FAV
팔콘에비에이션서비스,FVS
파르스케셤 항공,QFZ
페스트젯 짐바브웨,FN
페데랄 항공,7V
페덱스,FX
펠릭스 항공,FXX
