ID,ICAO,TYPE,AIRPORT_NAME,LAT,LNG,CONTINENT_CODE,CONTINENT,COUNTRY_CODE,COUNTRY,CITY,IATA
43867,UHWP,small_airport,플라스툰 공항,44.81499863,136.2920074,AS,아시아,RU,러시아,Plastun,TLY
6462,UHWW,large_airport,블라디보스토크 국제공항,43.396256,132.148155,EU,유럽,RU,러시아,Artyom,VVO
6463,UIAA,medium_airport,카달랴 공항,52.026299,113.306,EU,유럽,RU,러시아,Chita,HTA
6464,UIBB,medium_airport,브랏스크 공항,56.37060165,101.697998,AS,아시아,RU,러시아,Bratsk,BTK
6465,UIII,medium_airport,이르쿠츠크 국제공항,52.268002,104.389,EU,유럽,RU,러시아,Irkutsk,IKT
32524,UIKB,small_airport,보데이보 공항,57.86610031,114.2429962,AS,아시아,RU,러시아,Bodaybo,ODO
42930,UITT,medium_airport,우스쿠트 공항,56.856701,105.730003,AS,아시아,RU,러시아,Ust-Kut,UKX
6466,UIUU,medium_airport,무키노 공항,51.808614,107.439652,EU,유럽,RU,러시아,Ulan Ude,UUD
32529,UJAP,small_airport,우재도 공항,8.928059578,165.7619934,OC,오세아니아,MH,마셜 제도,Ujae Atoll,UJE
6467,UKBB,large_airport,보르스폴 공항,50.345001,30.894699,EU,유럽,UA,우크라이나,Boryspil,KBP
6469,UKCM,medium_airport,마리우폴 공항,47.0760994,37.44960022,EU,유럽,UA,우크라이나,Mariupol,MPW
6471,UKDD,medium_airport,드네프로페트로브스크 국제공항,48.357201,35.100601,EU,유럽,UA,우크라이나,Dnipro,DNK
6472,UKDE,medium_airport,모크라야 공항,47.86700058,35.31570053,EU,유럽,UA,우크라이나,Zaporizhia,OZH
6473,UKDR,medium_airport,루주바크타 공항,48.04330063,33.20999908,EU,유럽,UA,우크라이나,Kryvyi Rih,KWG
6474,UKFF,medium_airport,심페로폴 공항,45.0522,33.975101,EU,유럽,UA,우크라이나,Simferopol,SIP
6476,UKHH,medium_airport,카르키브 오스노바 국제공항,49.924801,36.290001,EU,유럽,UA,우크라이나,Kharkiv,HRK
6478,UKKK,medium_airport,출랴니 공항,50.40194,30.45194,EU,유럽,UA,우크라이나,Kyiv,IEV
6480,UKLI,medium_airport,이바노-프랭코브스크 공항,48.88420105,24.68610001,EU,유럽,UA,우크라이나,Ivano-Frankivsk,IFO
6481,UKLL,large_airport,스닐로우 공항,49.8125,23.9561,EU,유럽,UA,우크라이나,Lviv,LWO
6482,UKLN,medium_airport,체르노브시 공항,48.25930023,25.98080063,EU,유럽,UA,우크라이나,Chernivtsi,CWC
6483,UKLR,medium_airport,로브노 공항,50.60710144,26.14159966,EU,유럽,UA,우크라이나,Rivne,RWN
6485,UKLU,medium_airport,우쵸러드 공항,48.63430023,22.26339912,EU,유럽,UA,우크라이나,Uzhhorod,UDJ
32534,UKOH,medium_airport,헤르손 국제 공항,46.6758,32.506401,EU,유럽,UA,우크라이나,Kherson,KHE
6486,UKON,medium_airport,미콜라이프 공항,47.057899,31.9198,EU,유럽,UA,우크라이나,Nikolayev,NLV
6487,UKOO,medium_airport,오데사 센트럴 공항,46.4268,30.6765,EU,유럽,UA,우크라이나,Odessa,ODS
6488,ULAA,medium_airport,탈라기 공항,64.60030365,40.71670151,EU,유럽,RU,러시아,Archangelsk,ARH
35124,ULAH,medium_airport,Vaskovo Airport,64.441704,40.4217,EU,유럽,RU,러시아,Arkhangelsk,VKV
44768,ULAL,small_airport,레슈콘스코예 공항,64.89600372,45.72299957,EU,유럽,RU,러시아,Leshukonskoye,LDG
32040,ULAM,medium_airport,나르산-마 공항,67.639999,53.121899,AS,아시아,RU,러시아,Naryan Mar,NNM
42918,ULAS,small_airport,솔로스키 공항,65.029999,35.733334,EU,유럽,RU,러시아,Solovetsky Islands,CSH
30819,ULBC,medium_airport,체레포베츠 공항,59.27360153,38.01580048,EU,유럽,RU,러시아,Cherepovets,CEE
30643,ULDD,medium_airport,암더마 공항,69.76329803,61.5564003,AS,아시아,RU,러시아,Amderma,AMV
300611,ULH,medium_airport,프린스 압둘 마지드 빈 압둘 아지즈 국내 공항,26.48,38.128889,AS,아시아,SA,사우디아라비아,Al Ula,ULH
31780,ULKK,medium_airport,코틀라스 공항,61.2358017,46.69749832,EU,유럽,RU,러시아,Kotlas,KSZ
6489,ULLI,large_airport,플코보 공항,59.8003006,30.26250076,EU,유럽,RU,러시아,St. Petersburg,LED
6490,ULMM,medium_airport,무르만스크 공항,68.78170013,32.75080109,EU,유럽,RU,러시아,Murmansk,MMK
6491,ULOO,medium_airport,프코브 공항,57.78390121,28.39559937,EU,유럽,RU,러시아,Pskov,PKV
6492,ULPB,medium_airport,베소베츠 공항,61.8852005,34.15470123,EU,유럽,RU,러시아,Petrozavodsk,PES
6495,UMBB,medium_airport,브레스트 공항,52.108299,23.8981,EU,유럽,BY,벨라루스,Brest,BQT
6496,UMGG,medium_airport,고멜 공항,52.52700043,31.01670074,EU,유럽,BY,벨라루스,Gomel,GME
6498,UMKK,medium_airport,크라브로포 공힝,54.88999939,20.59259987,EU,유럽,RU,러시아,Kaliningrad,KGD
6499,UMMG,medium_airport,그로드노 공항,53.60200119,24.05380058,EU,유럽,BY,벨라루스,Hrodna,GNA
6501,UMMS,large_airport,민스크 2 국제공항,53.888071,28.039964,EU,유럽,BY,벨라루스,Minsk,MSQ
6502,UMOO,medium_airport,Mogilev Airport,53.95489883,30.0951004,EU,유럽,BY,벨라루스,Mogilev,MVQ
6503,UNAA,medium_airport,아바칸 공항,53.740002,91.385002,EU,유럽,RU,러시아,Abakan,ABA
6504,UNBB,medium_airport,바르나울 공항,53.36380005,83.53849792,AS,아시아,RU,러시아,Barnaul,BAX
6505,UNEE,medium_airport,케메로보 공항,55.27009964,86.10720062,AS,아시아,RU,러시아,Kemerovo,KEJ
30995,UNII,medium_airport,Yeniseysk Airport,58.474201,92.112503,AS,아시아,RU,러시아,Yeniseysk,EIE
6506,UNKL,large_airport,크로스노야르스크 공항,56.173077,92.492437,EU,유럽,RU,러시아,Krasnoyarsk,KJA
31793,UNKY,medium_airport,키질 공항,51.669399,94.400597,AS,아시아,RU,러시아,Kyzyl,KYZ
6507,UNNT,large_airport,노보시비르스크 공항 ,55.019756,82.618675,EU,유럽,RU,러시아,Novosibirsk,OVB
6508,UNOO,medium_airport,첸틀러니 공항,54.96699905,73.3105011,AS,아시아,RU,러시아,Omsk,OMS
32468,UNTT,medium_airport,보가쉐프 공항,56.38029861,85.20829773,AS,아시아,RU,러시아,Tomsk,TOF
32045,UNWW,medium_airport,노보쿠즈네츠크 공항,53.811401,86.877197,EU,유럽,RU,러시아,Novokuznetsk,NOZ
6509,UOHH,medium_airport,하탕가 공항,71.97810364,102.4909973,AS,아시아,RU,러시아,Khatanga,HTG
31660,UOII,medium_airport,이가카르 공항,67.437202,86.621902,AS,아시아,RU,러시아,Igarka,IAA
6510,UOOO,medium_airport,노릴 공항,69.31109619,87.3321991,AS,아시아,RU,러시아,Norilsk,NSK
32547,UOTT,small_airport,투루간스크 공항,65.797203,87.935303,AS,아시아,RU,러시아,Turukhansk,THX
6511,URKA,medium_airport,비타야제프 공항,45.002102,37.347301,EU,유럽,RU,러시아,Krasnyi Kurgan,AAQ
45191,URKE,medium_airport,예이스크 아이스크 공항,46.68,38.21,EU,유럽,RU,러시아,Yeysk,EIK
